日期,淨尖峰供電能力(MW),尖峰負載(MW),備轉容量(MW),備轉容量率(%),工業用電(百萬度),民生用電(百萬度),核一#1(萬瓩),核一#2(萬瓩),核二#1(萬瓩),核二#2(萬瓩),核三#1,核三#2,林口#1,林口#2,林口#3,台中#1,台中#2,台中#3,台中#4,台中#5,台中#6,台中#7,台中#8,台中#9,台中#10,興達#1,興達#2,興達#3,興達#4,大林#1,大林#2,和平#1,和平#2,麥寮#1,麥寮#2,麥寮#3,汽電共生,大潭 (#1-#6),通霄 (#1-#6，GT#9),興達 (#1-#5),南部 (#1-#4),大林(#5-#6),海湖 (#1-#2),國光 #1,新桃#1,星彰#1,星元#1,嘉惠#1,豐德(#1-#2),協和 (#1-#4),氣渦輪,離島,德基,青山,谷關,天輪,馬鞍,萬大,大觀,鉅工,大觀二,明潭,碧海,立霧,龍澗,卓蘭,水里,其他小水力,風力發電,太陽能發電
20220101,29007,25661,3346,13.04,329.548,212.867,0,0,0,98.4,94.8,94.4,76,76.1,76.1,42.5,0,43.5,0,43.6,43.3,43.1,44.3,0,43.1,30.7,0,0,32.4,0,76.4,48.3,0,40.2,0,52.4,41.7,235.8,388,205.1,29.7,66.4,43.8,48.4,0,49.1,27.3,0,48.1,14.7,0,8.9,6.1,11.5,4.3,3.6,3,2.6,3,1.4,31.8,74,0,1.7,3.5,4,0,22.6,54.7,0
20220102,29556,25915,3641,14.05,325.723,210.396,0,0,0,98.4,94.8,94.4,76.1,76.2,76.1,0,0,47.5,0,48.6,48.1,48.2,49.4,32.7,17.2,24.3,0,0,25.6,0,76,59,0,43,0,52.4,38.8,222.1,363.7,208.9,73.5,36.3,46.1,0,59.6,52.8,27.3,0,106.4,14.7,0,9.1,5.5,6.3,4.6,4.1,3,2.5,2.8,0.8,37.7,69.3,0,1.6,2.9,1.8,0,22.5,57.3,0
20220103,33160,29976,3184,10.62,368.458,237.999,0,0,0,98.4,95,94.5,75.9,76.1,76,0,0,51.5,0,52.6,53.1,53,52.7,47.7,52.9,30.7,0,0,35.5,0,76,60.2,0,51,0,54,51.1,248.5,387.1,177.2,71.6,98.7,92,48.6,60.1,52.5,27.1,119.5,104.7,29.5,0,8.3,3,3,5,4.1,3.1,4.5,1.1,0.2,21.6,60,0,1.6,4,4,0,22,49.7,0
20220104,32950,30330,2620,8.64,382.67,247.18,0,0,0,98.4,94.9,94.5,76,76.1,76.1,0,0,49.6,0,52.2,53,51.5,53.3,49.1,52.9,38.9,0,0,47.8,0,76.2,60.2,0,56.7,0,28.2,54.2,249.8,386.8,192.1,66.6,98.6,92,48.5,60.1,52.4,26.9,119.8,104.6,48,0,8.6,4,5.6,4.2,3.2,3,4.5,1.2,0.2,30.1,64.1,0,1.6,2.5,1.8,0,22.2,46.2,0
20220105,32961,30449,2512,8.25,387.567,250.343,0,0,0,98.4,94.9,94.5,75.9,76.2,76.1,0,0,50.4,0,52.6,53,53,53.2,48.5,51.3,35,0,0,35.8,0,76.2,60.2,0,56.9,0,57.2,52.7,251.7,387.1,200.9,73.7,94,86.2,45.1,60.3,47.7,26.9,119.8,104.5,85.2,0,10.2,7.3,5.6,5,4.4,3,4.5,2.6,0.7,35.6,40.5,0,1.6,3.1,2.8,0,22,20.9,0
20220106,33485,30276,3209,10.6,385.967,249.309,0,0,0,98.4,95,94.6,76,76.2,76.1,0,0,51.2,0,52.1,53,52,52.5,47.4,53,44.2,0,0,51.9,0,76.1,60.2,0,56.1,0,57.2,56.8,252.4,390.1,180.8,62.6,98.6,92,49.2,60.1,53,27.3,119.8,105.7,35.5,0,8.7,4.2,4.2,4.6,3.9,2.9,4.5,1.3,0.3,14.8,38.9,0,1.6,4,2.7,0,21.7,71.3,0
20220107,32972,29962,3010,10.05,383.956,248.01,0,0,0,98.4,94.9,94.4,76,76.1,76.1,0,0,51.1,0,51.6,53.1,52.4,53.3,48.6,52.6,43,0,0,46.4,0,76.1,60.3,0,52.4,0,57.2,58.9,247.8,383.4,189.9,64.4,53.8,92,49.2,60.1,52.9,27.3,119.9,105.8,28.6,0,8.5,6.1,8.6,4.4,3.9,2.9,4.6,1.9,1.1,14.9,48.5,0,1.6,4.1,3.9,0,22.7,66.1,0
20220108,30503,27356,3147,11.5,356.857,230.506,0,0,0,98.4,94.9,94.4,76.1,76.2,76.2,51.4,0,50.7,0,52.4,0,51.4,53.6,50,52.5,30.6,0,0,32.5,0,75.9,58.3,0,42.3,0,57.2,37.4,244.9,375.7,188.5,70.1,58.1,45.9,0,60.1,52.8,27.2,50.9,105.2,28.2,0,8.2,3,0.6,1.2,1.6,0.8,0.6,1.8,0.5,19.4,56,0,1.6,4.8,4,0,20.7,56.1,0
20220109,29720,26562,3158,11.89,337.458,217.975,0,0,0,98.3,94.8,94.4,76,76.1,68,52.1,0,50.2,0,52.6,0,48,49.5,50.2,52.2,30.7,0,0,32.6,0,76.2,57.6,0,47.2,0,52.3,41.1,265.3,376.8,187.6,73.2,88.7,0,0,0,0,27.4,68.9,106.2,28.2,0,8,3,4.9,1.2,1.6,0.7,0.5,2,0.5,27.3,68,0,1.6,4.5,3.8,0,20.4,55.5,0
20220110,32696,30205,2491,8.25,375.424,242.499,0,0,0,98.2,94.8,94.5,75.9,76,76,52.3,0,52.1,0,53.6,0,50,53.5,48.9,53,47.6,0,0,52.5,0,76.2,60.3,0,52.8,0,57.3,58.4,263.2,381.3,202.3,66.6,98.7,92,48.8,0,52.7,27.2,119.8,105.2,56.6,0,10,9,15.8,5.3,4.7,2.9,3.5,2.4,0.8,15.2,49.1,0,1.6,3,4,0,21.4,38.9,0
